# DERIVED, not captured. M20's residual re-integration.
# source: docs/rangetest/data/2026-09-05-survey-campaign-r11.csv
# regenerate: python3 tools/rangetest/survey_reintegrate.py <source> --out <this file>
# envelope A rows are single 125 kHz bins; envelope B rows are 500 kHz channels on the US915 grid.
# floor/mean are power sums over the measured bins scaled to the full channel width; peak is the max member bin.
# COVERAGE: the survey measured 125 kHz every 200 kHz, so 37.5% of the band was never looked at.
site_name,envelope,grid,centre_hz,width_hz,n_bins,measured_hz,coverage,floor_dbm,mean_dbm,peak_dbm,peak_bin_hz,min_passes
irrigation-pump,A,bin-125k,920400000,125000,1,125000,1.000,-116.0,-114.9,-114.0,920400000,71
irrigation-pump,A,bin-125k,920600000,125000,1,125000,1.000,-116.0,-114.9,-114.0,920600000,71
irrigation-pump,A,bin-125k,920800000,125000,1,125000,1.000,-116.0,-114.9,-114.0,920800000,71
irrigation-pump,A,bin-125k,921000000,125000,1,125000,1.000,-116.0,-114.8,-114.0,921000000,71
irrigation-pump,A,bin-125k,921200000,125000,1,125000,1.000,-116.0,-114.9,-106.0,921200000,71
irrigation-pump,A,bin-125k,921400000,125000,1,125000,1.000,-116.0,-114.9,-113.0,921400000,71
irrigation-pump,A,bin-125k,921600000,125000,1,125000,1.000,-116.0,-114.9,-112.0,921600000,71
irrigation-pump,A,bin-125k,921800000,125000,1,125000,1.000,-116.0,-114.9,-113.0,921800000,71
irrigation-pump,A,bin-125k,922000000,125000,1,125000,1.000,-117.0,-114.9,-113.0,922000000,71
irrigation-pump,A,bin-125k,922200000,125000,1,125000,1.000,-117.0,-114.9,-114.0,922200000,71
irrigation-pump,A,bin-125k,922400000,125000,1,125000,1.000,-116.0,-114.9,-113.0,922400000,71
irrigation-pump,A,bin-125k,922600000,125000,1,125000,1.000,-116.0,-114.9,-113.0,922600000,71
irrigation-pump,A,bin-125k,922800000,125000,1,125000,1.000,-116.0,-114.9,-114.0,922800000,71
irrigation-pump,A,bin-125k,923000000,125000,1,125000,1.000,-116.0,-114.9,-112.0,923000000,71
irrigation-pump,B,us915-500k,903000000,500000,3,375000,0.750,-109.6,-108.3,-110.0,903200000,71
irrigation-pump,B,us915-500k,904600000,500000,3,375000,0.750,-110.0,-108.5,-112.0,904400000,71
irrigation-pump,B,us915-500k,906200000,500000,3,375000,0.750,-110.0,-108.5,-113.0,906000000,71
irrigation-pump,B,us915-500k,907800000,500000,3,375000,0.750,-110.0,-108.6,-113.0,907600000,71
irrigation-pump,B,us915-500k,909400000,500000,3,375000,0.750,-110.0,-108.7,-112.0,909200000,71
